Aqualung 	n
Aqua regia 	n
Aquarelle 	n
Aquarium 	n
Aquarius 	n
Aquatint 	n
Aqua vitae 	n
Aqueduct 	n
Aqueous 	adj
Aqueous humour 	n
Aquilegia 	n
Aquiline 	adj
Ar 	symb
Arabesque 	n
Arabic numeral 	n
Arable 	adj
Arachnid 	n
Arak 	var
Araldite 	n
Arbiter 	n
Arbitrary 	adj
Arbitrate 	v
Arbitration 	n
Arbitrator 	n
Arbor 	n
Arboreal 	adj
Arborescent 	adj
Arboretum 	n
Arboriculture 	n
Arbor vitae 	n
Arbour 	n
Arbutus 	n
Arcade 	n
Arcane 	adj
Arch- 	comb
Archaeology 	n
Archaeopteryx 	n
Archaic 	adj
Archaism 	n
Archangel 	n
Archbishop 	n
Archbishopric 	n
Archdeacon 	n
Archdiocese 	n
Arabic numeral 	n
Arable 	adj
Arachnid 	n
Arak 	var
Araldite 	n
Arbiter 	n
Arbitrary 	adj
Arbitrate 	v
Arbitration 	n
Arbitrator 	n
Arbor 	n
Arboreal 	adj
Arborescent 	adj
Arboretum 	n
Arboriculture 	n
Arbor vitae 	n
Arbour 	n
Arbutus 	n
Arcade 	n
Arcane 	adj
Arch- 	comb
Archaeology 	n
Archaeopteryx 	n
Archaic 	adj
Archaism 	n
Archangel 	n
Archbishop 	n
Archbishopric 	n
Archdeacon 	n
Archdiocese 	n
Archdiocese 	n
Archduke 	n
Arch-enemy 	n
Archeology 	n
Archer 	n
Archery 	n
Archetype 	n
Archidiaconal 	adj
Archiepiscopal 	adj
Archimandrite 	n
Archipelago 	n
Architect 	n
Architectonic 	adj
Architecture 	n
Architrave 	n
Archivist 	n
Archway 	n
Arc lamp 	n
Arctic circle 	n
Arc welding 	n
Ardent 	adj
Ardor 	n
Ardour 	n
Arduous 	adj
Area 	n
Arena 	n
Areola 	n
Argent 	n
Argon 	n
Argosy 	n
Argot 	n
Argue 	v
Argue 	v
Argument 	n
Argumentation 	n
Argumentative 	adj
Argus 	n
Argy-bargy 	n
Aria 	n
Arid 	adj
Aries 	n
Aright 	adv
Arise 	v
Aristocracy 	n
Aristocrat 	n
Aristocratic 	adj
Arithmetic mean 	n
Arithmetic progression 	n
Ark 	n
Ark of the covenant 	n
Armada 	n
Armadillo 	n
Armageddon 	n
Armament 	n
Armature 	n
Armband 	n
Armchair 	n
Armhole 	n
Armhole 	n
Armistice 	n
Armistice day 	n
Armlet 	n
Armorial 	adj
Armourer 	n
Armoury 	n
Armpit 	n
Armrest 	n
Arms race 	n
Arm-wrestling 	n
Army 	n
Arnica 	n
Aroma 	n
Aromatherapy 	n
Arouse 	v
Arpeggio 	n
Arrack 	n
Arraign 	v
Arrange 	v
Arrangement 	n
Arrant 	adj
Arras 	n
Arrears 	n
Arrester 	n
Arris 	n
Arrival 	n
Arrive 	v
Arriviste 	n
Arrogant 	adj
Arrogate 	v
Arrow 	n
Arrowhead 	n
Arrowroot 	n
Arse 	n
Arsehole 	n
Arsenal 	n
Arson 	n
Art 	n
Art deco 	n
Artefact 	n
Arterial 	adj
Arteriosclerosis 	n
Artery 	n
Artesian well 	n
Artful 	adj
Arthritis 	n
Arthropod 	n
Arthropod 	n
Artichoke 	n
Articled clerk 	n
Articular 	adj
Articulated lorry 	n
Articulation 	n
Artifact 	var
Artifice 	n
Artificer 	n
Artificial 	adj
Artificial insemination 	n
Artificial intelligence 	n
Artificial respiration 	n
Artillery 	n
Artisan 	n
Artist 	n
Artiste 	n
Artistic 	adj
Artless 	adj
Art nouveau 	n
Artwork 	n
Arty 	adj
Arum 	n
As 	symb
Asafetida 	n
Asafoetida 	n
Asbestos 	n
Ascend 	v
Ascendancy 	n
Ascension 	n
Ascent 	n
Ascertain 	v
Ascii 	abbr
Ascorbic acid 	n
Ascribe 	v
Asepsis 	n
Asexual 	adj
Ashamed 	adj
Ashcan 	n
Ashcan 	n
Ashen 	adj
Ashkenazi 	n
Ashlar 	n
Ashore 	adv
Ashram 	n
Ashtray 	n
Ashy 	adj
Asinine 	adj
Ask 	v
Askance 	adv
Asleep 	predic
Asp 	n
Asparagus 	n
Aspect 	n
Aspen 	n
Asperity 	n
Aspersion 	n
Asphodel 	n
Asphyxia 	n
Asphyxiate 	v
Aspic 	n
Aspidistra 	n
Aspiration 	n
Aspirator 	n
Aspire 	v
Aspirin 	n
Ass 	n
Assagai 	var
Assagai 	var
Assail 	v
Assassin 	n
Assassinate 	v
Assegai 	n
Assemblage 	n
Assemble 	v
Assembler 	n
Assembly 	n
Assembly line 	n
Assert 	v
Assertion 	n
Assertive 	adj
Assess 	v
Assessor 	n
Asset 	n
Asset-stripping 	n
Asseverate 	v
Asshole 	n
Assiduous 	adj
Assignation 	n
Assignee 	n
Assignment 	n
Assimilate 	v
Assist 	v
Assistant 	n
Assizes 	n
Association 	n
Association football 	n
Assonance 	n
Assort 	v
Assorted 	adj
Assortment 	n
Assuage 	v
Assume 	v
Assuming 	adj
Assumption 	n
Assurance 	n
Assure 	v
Assuredly 	adv
Ast 	abbr
Astatine 	n
Aster 	n
Astern 	adv
Asteroid 	n
Asthma 	n
